frequency_hz,radial_spacing_km,attenuation_db_per_mm,phase_velocity_fraction_c,attenuation_error_db_per_mm,phase_velocity_error_fraction_c,beta_real_rad_per_m,beta_imag_rad_per_m,eigen_residual
386.555989583,2.5,7.09403990378,0.856808806375,4.34493524324e-05,0.000388958288963,9.45556862214e-06,-8.16731526577e-07,3.53086788635e-10
396.728515625,2.5,7.28090242492,0.857938414707,-0.00024263002395,0.000392359489605,9.69162203586e-06,-8.38244869358e-07,3.70236601499e-10
406.901041667,2.5,7.46833094322,0.859040673571,-0.000546960814221,0.000395712776676,9.92737071528e-06,-8.5982337497e-07,2.77448154281e-10
417.073567708,2.5,7.65634313057,0.860117012567,-0.000869802570524,0.000399021817085,1.01628214289e-05,-8.81469077965e-07,3.49115039956e-10
427.24609375,2.5,7.84495593515,0.861168760693,-0.00121147241601,0.000402289897229,1.03979805075e-05,-9.03183929574e-07,2.4960383855e-10
437.418619792,2.5,8.03418562117,0.862197155942,-0.00157233403425,0.000405519973905,1.0632853872e-05,-9.24969802282e-07,2.50651933137e-10
447.591145833,2.5,8.2240478055,0.863203352999,-0.00195279599244,0.000408714526416,1.08674470692e-05,-9.46828494051e-07,2.27039010999e-10
457.763671875,2.5,8.41455749038,0.864188431418,-0.00235330579876,0.000411875598292,1.11017652869e-05,-9.68761732074e-07,2.71118865031e-10
467.936197917,2.5,8.60572909376,0.865153400834,-0.00277433932291,0.000415004810261,1.13358133951e-05,-9.90771176282e-07,2.92582300932e-10
478.108723958,2.5,8.79757648569,0.866099208148,-0.00321639649795,0.000418103309021,1.15695959497e-05,-1.01285842352e-06,2.58113483842e-10
488.28125,2.5,8.99011301161,0.867026742006,-0.00367999219183,0.000421171828933,1.18031172229e-05,-1.03502501024e-06,2.55588320428e-10
498.453776042,2.5,9.18335151697,0.867936837646,-0.00416565073754,0.000424210743729,1.2036381219e-05,-1.05727241534e-06,2.03605472754e-10
50.8626302083,1.25,1.04494911938,0.770028225464,0.000529490820903,1.3687744706e-05,1.38436731019e-06,-1.20304213261e-07,1.33732302006e-08
61.03515625,1.25,1.23581188759,0.77767833978,0.000613787740456,1.800386316e-05,1.64489894918e-06,-1.42278101506e-07,1.27036439164e-08
71.2076822917,1.25,1.42462429542,0.784169782277,0.000694328767841,2.17181818299e-05,1.90316268018e-06,-1.64015933288e-07,6.25531589041e-09
81.3802083333,1.25,1.61180152898,0.78980954635,0.00077190194541,2.49878628769e-05,2.1595118128e-06,-1.85565508675e-07,5.52305473004e-09
91.552734375,1.25,1.79765254727,0.794796404817,0.000846869413221,2.7933751354e-05,2.41420748034e-06,-2.06962397887e-07,3.5553900481e-09
101.725260417,1.25,1.98241696844,0.799266530948,0.000919129957606,3.06351483975e-05,2.66745037351e-06,-2.28234187981e-07,4.23846836437e-09
111.897786458,1.25,2.16628693504,0.80331734589,0.000988425419429,3.31390135017e-05,2.9193994119e-06,-2.49403000188e-07,3.37645784628e-09
122.0703125,1.25,2.34942072671,0.807020991263,0.00105458070877,3.54751998897e-05,3.17018342213e-06,-2.70487057125e-07,2.39074019435e-09
132.242838542,1.25,2.53195159815,0.810432398718,0.00111756635916,3.7665283767e-05,3.41990886945e-06,-2.91501700304e-07,2.50367198911e-09
142.415364583,1.25,2.71399370074,0.813594387814,0.00117744906413,3.97278789771e-05,3.66866509138e-06,-3.1246007189e-07,2.32343647586e-09
152.587890625,1.25,2.89564622352,0.816540990106,0.00123432388156,4.16801046124e-05,3.91652807209e-06,-3.33373591443e-07,2.17716531712e-09
162.760416667,1.25,3.07699638241,0.819299709094,0.00128826158036,4.35376435873e-05,4.16356316565e-06,-3.54252300067e-07,1.83049594664e-09
172.932942708,1.25,3.25812165909,0.821893096817,0.00133927114928,4.53140511167e-05,4.40982712363e-06,-3.75105118169e-07,1.48103317043e-09
183.10546875,1.25,3.43909151313,0.824339877682,0.00138730437765,4.70208055814e-05,4.6553696547e-06,-3.95940042579e-07,1.22481118773e-09
193.277994792,1.25,3.61996871694,0.826655771287,0.00143226698263,4.86670986108e-05,4.90023462374e-06,-4.16764300237e-07,1.22627712896e-09
203.450520833,1.25,3.80081042447,0.8288541067,0.00147403011463,5.02601359234e-05,5.14446098361e-06,-4.37584471234e-07,1.04052652774e-09
213.623046875,1.25,3.98166899668,0.830946284244,0.00151245450357,5.18055000236e-05,5.38808353629e-06,-4.5840658385e-07,9.84739733403e-10
223.795572917,1.25,4.16259269457,0.832942133759,0.00154740095166,5.33075022885e-05,5.63113352563e-06,-4.79236194336e-07,7.65260640734e-10
233.968098958,1.25,4.34362623017,0.834850190732,0.00157873776895,5.47694187922e-05,5.87363913839e-06,-5.00078450356e-07,8.84597846876e-10
