grid,degree,mode_count,eigenvalue_relative_error_mean,eigenvalue_relative_error_max_abs,wavenumber_relative_error_mean,wavenumber_relative_error_max_abs,eigenfunction_residual_mean,eigenfunction_residual_max
native-l6,78,3,-0.130201100482,0.132363271697,-0.0673713410737,0.0685298027835,0.0147690695351,0.018271265141
native-l6,79,3,-0.133277850546,0.135517371515,-0.0690224171169,0.0702244203653,0.0154608316416,0.0199293918896
native-l6,80,3,-0.136335152847,0.138707221487,-0.0706660367283,0.0719413927383,0.015178449283,0.0186683053949
native-l6,81,3,-0.139555489422,0.141909216084,-0.0724002502812,0.0736681027214,0.0157613635963,0.0199929710235
native-l6,82,3,-0.142782709285,0.145146134952,-0.0741414594566,0.0754169236633,0.0156318950186,0.0191838419523
native-l6,83,3,-0.146100583299,0.148409829755,-0.0759349057593,0.0771835663334,0.0163183071942,0.0208213019253
native-l6,84,3,-0.149330387289,0.151699880875,-0.0776842638019,0.078967905486,0.016318702526,0.0203997263444
native-l6,85,3,-0.15252223396,0.155314224299,-0.0794164429086,0.0809321158365,0.0169096166281,0.0217602589188
native-l6,86,3,-0.155852958827,0.15835736104,-0.081227268773,0.0825891656622,0.0168233475842,0.0210654583391
native-l6,87,3,-0.159159773791,0.161723938534,-0.0830287232437,0.0844258296205,0.0173502883398,0.0222209775684
native-l6,88,3,-0.162581759124,0.165115169408,-0.084896500647,0.0862796759445,0.0170852054833,0.0209997180132
native-l6,89,3,-0.165992927361,0.168530622216,-0.0867622337704,0.0881505728552,0.0177976012557,0.022710256597
native-l6,90,3,-0.169397181391,0.172125489543,-0.0886280475446,0.0901239037885,0.0177198531429,0.0220566599307
native-l6,91,3,-0.172839273576,0.175432457326,-0.0905184620385,0.0919429848988,0.0186005465112,0.0242641640075
native-l6,92,3,-0.17619133274,0.178917966458,-0.0923634194269,0.0938642300726,0.0184095573436,0.0232630587544
native-l6,93,3,-0.179622300409,0.182425951351,-0.0942556006379,0.0958019859293,0.0189960247329,0.0245939691139
native-l6,94,3,-0.183102392645,0.185955970775,-0.0961788716971,0.097756114332,0.0187944985397,0.0235606161786
native-l6,95,3,-0.186703793084,0.189838218867,-0.0981733202141,0.09991012608,0.0194070946828,0.0249807346579
native-l6,96,3,-0.190327238935,0.193080339847,-0.100184414258,0.101712929987,0.0194127992775,0.0245574089628
native-l6,97,3,-0.193837979003,0.196673798832,-0.102137515002,0.103715334747,0.0200285564859,0.0259754893443
native-l6,98,3,-0.197403353429,0.200287511189,-0.104125302473,0.105733547084,0.0200039524233,0.025472490973
native-l6,99,3,-0.201018787192,0.203921027986,-0.106145452975,0.107767422689,0.0206518936049,0.026987205563
native-l6,100,3,-0.204640554652,0.207645854885,-0.108173758508,0.109857233296,0.0204258186563,0.0258855233623
native-l7,1,3,-9.9407909893e-06,9.94079098937e-06,-4.97040784712e-06,4.97040784719e-06,6.94550177027e-05,6.9455017726e-05
native-l7,2,3,-3.22029095116e-05,3.22029095116e-05,-1.61015843863e-05,1.61015843863e-05,0.000541314420381,0.000541314420393
native-l7,3,3,-6.81092273108e-05,7.39751905457e-05,-3.40551956843e-05,3.69882793393e-05,0.000655976568696,0.000756784685419
native-l7,4,3,-0.000110609027858,0.000112577968196,-5.53060435503e-05,5.62905684119e-05,0.000677651342277,0.000802294797646
native-l7,5,3,-0.000161084518194,0.000186831377041,-8.05455454963e-05,9.34200521737e-05,0.000695305103557,0.000854009968112
native-l7,6,3,-0.000228128763134,0.000233241041657,-0.000114070894187,0.000116627321795,0.000770982927996,0.00103621673863
native-l7,7,3,-0.000308103009391,0.000312393941624,-0.000154063377062,0.000156209171465,0.00073233437666,0.000887536309047
native-l7,8,3,-0.000401725016884,0.000403112138628,-0.00020088268585,0.000201576385834,0.000665031233545,0.000674151976162
native-l7,9,3,-0.00050743391746,0.000511500098032,-0.00025374915408,0.000255782761427,0.000742840278553,0.000834880536664
native-l7,10,3,-0.000615812913427,0.000623274826116,-0.000307953878829,0.000311685987135,0.00078168578679,0.00093122293826
native-l7,11,3,-0.000727501061823,0.000744698176516,-0.000363816786227,0.000372418436004,0.000834468832351,0.0010000978585
native-l7,12,3,-0.000859633386401,0.000881703901055,-0.000429909226052,0.000440949168612,0.00089182291016,0.00110898564795
native-l7,13,3,-0.00100939437942,0.00103027519194,-0.000504824722822,0.000515270347738,0.000903843411439,0.00107731303866
native-l7,14,3,-0.00117066438382,0.00119040563627,-0.000585503696743,0.000595380056842,0.00082205633381,0.000852894977616
native-l7,15,3,-0.00134735241288,0.00140210703079,-0.000673903467378,0.000701299425837,0.000941766902626,0.00104677246292
native-l7,16,3,-0.00152955514321,0.00154531296883,-0.000765070300057,0.000772955214299,0.00100669734113,0.00116202761025
native-l7,17,3,-0.00171251535733,0.00174007248565,-0.000856624771835,0.000870415054006,0.00108126521845,0.00130595352136
native-l7,18,3,-0.00190921044193,0.00194635677635,-0.000955061637948,0.000973652387663,0.00110686426359,0.00130100260052
native-l7,19,3,-0.00212185627268,0.00216415601098,-0.0010614919672,0.00108266408625,0.00115620232089,0.00136554478526
native-l7,20,3,-0.00235384345952,0.00239702252349,-0.00117761551326,0.00119923033845,0.00105164000008,0.00120033454786
native-l7,21,3,-0.00259889241405,0.00263425851185,-0.00130029190004,0.00131799781505,0.00118463633077,0.00127943773962
native-l7,22,3,-0.00284228650448,0.00288654073725,-0.00142215500566,0.00144431338921,0.00124929009054,0.00138571244314
native-l7,23,3,-0.00308971967712,0.00315029585523,-0.00154605590317,0.00157639043101,0.00138043151094,0.00169024613285
native-l7,24,3,-0.00335630584909,0.00342551275558,-0.00167956459455,0.0017142256626,0.0013745137919,0.00158245978585
native-l7,25,3,-0.00363728894971,0.00375562700566,-0.00182030279104,0.00187957991316,0.00146254344146,0.00176017941774
native-l7,26,3,-0.00392622942526,0.0040102862661,-0.00196504719114,0.00200715747361,0.00135519255428,0.00136220116647
native-l7,27,3,-0.00423350867158,0.00431981943527,-0.00211900128925,0.00216224737449,0.00148151278726,0.00162690936568
native-l7,28,3,-0.00455994427856,0.00464076748578,-0.00228257886292,0.00232308209811,0.00151140766145,0.00162235133574
native-l7,29,3,-0.00488712951411,0.00497311803133,-0.00244655944111,0.00248965821468,0.00165938138881,0.0019710283341
native-l7,30,3,-0.00522244513833,0.00533923877103,-0.00261464303025,0.00267319236422,0.00164574860473,0.00184415240178
native-l7,31,3,-0.00556457879538,0.00567197563365,-0.00278617367907,0.00284002067554,0.0017844333278,0.00215273052166
native-l7,32,3,-0.00592065867132,0.00603845646275,-0.00296472763016,0.00302379991434,0.00169799302831,0.00179521302139
native-l7,33,3,-0.00629695288401,0.00641628731562,-0.00315345215477,0.00321330632659,0.00182394900795,0.00207390968993
native-l7,34,3,-0.00667655359824,0.00680545430322,-0.00334387171966,0.00340853621116,0.00180090333172,0.00190462872861
native-l7,35,3,-0.00706997106025,0.00725617736412,-0.00354126065999,0.00363469418296,0.00197583665401,0.0023306778797
native-l7,36,3,-0.00747678188819,0.00761773951243,-0.00374540999644,0.00381615126144,0.00194217802024,0.00212524955809
native-l7,37,3,-0.00789351810436,0.00804082832643,-0.00395458388687,0.0040285286849,0.00213311838936,0.00259501062224
native-l7,38,3,-0.00831209355135,0.00847519445106,-0.00416472595247,0.00424661409115,0.00206543067814,0.00228791363725
native-l7,39,3,-0.00873309732757,0.00892082234092,-0.00437613281996,0.00447040342384,0.00220376426003,0.00259790499922
native-l7,40,3,-0.0091878235099,0.00938005854935,-0.00460452166089,0.00470107934819,0.00214867911133,0.00233208137163
native-l7,41,3,-0.00965385828302,0.00984579951781,-0.00483864468193,0.00493507725265,0.00230604049972,0.00269177981631
native-l7,42,3,-0.010133913737,0.0103251159891,-0.00507986863341,0.00517595324052,0.00223146814771,0.00236011337717
native-l7,43,3,-0.0106192313386,0.0108156285896,-0.00532379682109,0.00542251613543,0.00245543458464,0.00292307816366
native-l7,44,3,-0.0111043121584,0.0113173200354,-0.00556766700639,0.00567476147662,0.00242356688813,0.00271755263518
native-l7,45,3,-0.0116010988186,0.0118871559494,-0.00581748451693,0.00596134680257,0.00261034350439,0.00317012507194
native-l7,46,3,-0.0120993419837,0.012354168558,-0.00606809833139,0.00619628122956,0.00252320989296,0.00279366167581
native-l7,47,3,-0.0126288490687,0.0128892892942,-0.00633450468105,0.00646554629153,0.00268436476016,0.00316422303361
native-l7,48,3,-0.0131693032254,0.0134355161922,-0.00660649243519,0.00674047509839,0.00258508530981,0.00275248216013
native-l7,49,3,-0.0137282416061,0.0139928301891,-0.00688785985273,0.00702106275568,0.00283130957054,0.00337625036864
native-l7,50,3,-0.0142903209745,0.014589738795,-0.0071708899965,0.00732167284411,0.00280486530163,0.00318603688366
native-l7,51,3,-0.0148317444174,0.0151406414352,-0.00744360000893,0.00759919459685,0.0030209249971,0.00371227062111
native-l7,52,3,-0.0154076582751,0.0157310987645,-0.00773376122725,0.00789672854311,0.00294829153589,0.00337644364984
native-l7,53,3,-0.0159948876638,0.0163325633525,-0.00802971092528,0.00819990086333,0.00311783192952,0.00376612595057
native-l7,54,3,-0.0166123152049,0.0169450143403,-0.00834097164128,0.00850870621084,0.00296695367585,0.00319353773626
native-l7,55,3,-0.0172318166711,0.0176329702518,-0.00865337798231,0.00885569680887,0.00319242500126,0.0037520163845
native-l7,56,3,-0.0178452701903,0.0182027902813,-0.00896283382005,0.00914319414018,0.00315886513957,0.00352631305304
native-l7,57,3,-0.0184853829637,0.0188480717182,-0.009285838378,0.00946886556664,0.0034313427524,0.00422073640692
native-l7,58,3,-0.0191165289213,0.0195042525225,-0.00960442526023,0.00980014770883,0.00336511851954,0.00389803193697
native-l7,59,3,-0.0197716085766,0.0201713100378,-0.00993519911669,0.0101370347557,0.0035528718672,0.00433623637929
native-l7,60,3,-0.0204296666543,0.0208595906768,-0.0102675899527,0.0104847604392,0.00341109913287,0.00378881093512
native-l7,61,3,-0.0211122146095,0.0215379627807,-0.0106124658026,0.0108275998496,0.00362462067037,0.00429829475643
native-l7,62,3,-0.0218206911434,0.0222375109027,-0.0109705666319,0.0111812658038,0.00357387483422,0.00401792256913
native-l7,63,3,-0.02250388307,0.0229478415251,-0.0113160180651,0.0115405124766,0.0038423816917,0.00469428014488
native-l7,64,3,-0.023213816602,0.0236689302019,-0.0116751154619,0.0119053335848,0.00378897180414,0.00440385848053
native-l7,65,3,-0.0239165805262,0.0244630314595,-0.0120307197286,0.0123072499302,0.00403706062053,0.00501937153571
native-l7,66,3,-0.0246423483683,0.0251432821544,-0.0123980948644,0.0126516734984,0.00389158732947,0.00444823218063
native-l7,67,3,-0.025384275213,0.0258964947603,-0.0127737897416,0.013033179261,0.0041047081655,0.00495431333438
native-l7,68,3,-0.0261222980619,0.0266603640823,-0.0131476537299,0.013420233373,0.00399123173426,0.00447957272218
native-l7,69,3,-0.0269005561021,0.0274348639012,-0.0135420448647,0.0138128290741,0.0042809115606,0.00521327112934
native-l7,70,3,-0.0276737619329,0.0282553742613,-0.0139340364458,0.014228918187,0.00422220386689,0.0049040331632
native-l7,71,3,-0.0284626760619,0.029015648394,-0.0143341506299,0.0146146177226,0.00448995662957,0.0055666366761
native-l7,72,3,-0.0292340592789,0.0298218788732,-0.0147255393515,0.0150237966698,0.00439154480234,0.00513297392692
native-l7,73,3,-0.0300219360175,0.0306386314619,-0.0151254557039,0.0154384892054,0.00460220517268,0.00562550065716
native-l7,74,3,-0.030852243553,0.0314658781907,-0.0155470746444,0.0158586880893,0.00450475846693,0.0051926801513
native-l7,75,3,-0.0316762202179,0.0323732519856,-0.0159656633119,0.0163197938281,0.00475198384458,0.00579471443874
native-l7,76,3,-0.0325191081371,0.0331517404572,-0.016394039723,0.0167155754601,0.00465578682049,0.00536173171157
native-l7,77,3,-0.0333487581237,0.0340102983265,-0.0168158791015,0.0171522489859,0.0049801349413,0.0061912260472
native-l7,78,3,-0.0342055064757,0.0348792350011,-0.0172516809411,0.0175943989375,0.00489859925091,0.00580204910813
native-l7,79,3,-0.0350580893069,0.0357585207891,-0.017685561253,0.018042017594,0.00517299255072,0.00647964126843
native-l7,80,3,-0.0359097713355,0.0366498291838,-0.0181191793117,0.0184959649516,0.00502201069346,0.0058821627704
native-l7,81,3,-0.0368053410856,0.037548019236,-0.0185753351882,0.0189536296566,0.00526520062451,0.00646204511398
native-l7,82,3,-0.0377051988594,0.038458170813,-0.0190338911742,0.01941760714,0.00515640993381,0.00598704517558
native-l7,83,3,-0.0386314073773,0.0393785493425,-0.0195060926201,0.019887021483,0.00545225658383,0.00672494892471
native-l7,84,3,-0.0395389704512,0.0403091234426,-0.0199690204407,0.0203618644839,0.00541095576204,0.006450404712
native-l7,85,3,-0.0404410854895,0.0413251472261,-0.0204293936469,0.0208805727727,0.00568129537358,0.007112154191
native-l7,86,3,-0.041380196051,0.0422007311599,-0.020908863829,0.0213278031741,0.00559345757319,0.00669362194859
native-l7,87,3,-0.0423180256351,0.0431617003505,-0.021387920109,0.0218188819807,0.00582179128087,0.0072249829761
native-l7,88,3,-0.0432874559835,0.0441327362615,-0.0218833552343,0.0223153556803,0.00565467754732,0.00656900883701
native-l7,89,3,-0.0442584295251,0.045113805857,-0.0223798345622,0.0228172155922,0.00596698304853,0.00735030311156
native-l7,90,3,-0.0452312315667,0.04614411925,-0.022877505815,0.0233445434801,0.00590020766367,0.00699562038334
native-l7,91,3,-0.0462150185709,0.0471059123296,-0.0233810540705,0.0238370588522,0.00626399822534,0.00792715124875
native-l7,92,3,-0.0471835940346,0.0481168815106,-0.0238770829913,0.0243550243611,0.0061510336124,0.00742969007099
native-l7,93,3,-0.0481757243533,0.0491377489875,-0.0243854297291,0.0248783404044,0.00641005310588,0.00804720756775
native-l7,94,3,-0.0491827881829,0.0501684801096,-0.0249016966692,0.025406997824,0.00626629058768,0.00745540964388
native-l7,95,3,-0.0502243224441,0.0512915659509,-0.0254359096705,0.0259833502198,0.00653325189341,0.00809711852931
native-l7,96,3,-0.0512745106096,0.0522593930996,-0.0259748573848,0.0264802996855,0.00647216005438,0.00774910685498
native-l7,97,3,-0.0523035512621,0.0533195040834,-0.0265032591392,0.0270249253364,0.00677987054458,0.00850884668722
native-l7,98,3,-0.0533490996892,0.0543893369476,-0.0270404278252,0.0275748547819,0.00672248097624,0.00817233531638
native-l7,99,3,-0.0544119681921,0.0554688554691,-0.0275867948789,0.0281300783896,0.00701923974538,0.00889732283924
native-l7,100,3,-0.0554808356227,0.0565758354486,-0.0281365577273,0.0286997557133,0.00686466877739,0.00826942571151
native-l8,1,3,-2.48522497785e-06,2.48522497792e-06,-1.24261326095e-06,1.24261326095e-06,2.46595476218e-05,2.46595476723e-05
native-l8,2,3,-8.05087499885e-06,8.050874999e-06,-4.02544560156e-06,4.02544560163e-06,0.000267665321484,0.000267665321516
native-l8,3,3,-1.70278431035e-05,1.8494450062e-05,-8.51395792993e-06,9.24726778695e-06,0.000322044822393,0.000371150577222
native-l8,4,3,-2.76535199227e-05,2.81458822557e-05,-1.38268555675e-05,1.40730401531e-05,0.000330461745467,0.000394630817286
native-l8,5,3,-4.02737287636e-05,4.67110957789e-05,-2.01370697957e-05,2.33558206366e-05,0.000334747619761,0.000416694354543
native-l8,6,3,-5.70370207517e-05,5.83152502293e-05,-2.85189174487e-05,2.91580502105e-05,0.000371244610021,0.000513751257302
native-l8,7,3,-7.70343544412e-05,7.81073245791e-05,-3.85179193235e-05,3.90544249136e-05,0.000344341803698,0.000427934051572
native-l8,8,3,-0.00010044542568,0.000100792671438,-5.02239740938e-05,5.03976056785e-05,0.000304297981193,0.000306259064243
native-l8,9,3,-0.000126881077838,0.000127896894696,-6.34425514621e-05,6.39504921804e-05,0.000329997948166,0.000367359420578
native-l8,10,3,-0.000153986838881,0.000155852801812,-7.69963839321e-05,7.79294374047e-05,0.000344633315008,0.000423182875016
native-l8,11,3,-0.00018192253063,0.000186224445842,-9.0965407295e-05,9.31165582679e-05,0.000362111615809,0.000435040446616
native-l8,12,3,-0.00021497443826,0.000220496031608,-0.000107493004126,0.000110254093787,0.000397695869695,0.000523629118007
native-l8,13,3,-0.000252439392315,0.000257664619181,-0.000126227669697,0.000128840609542,0.000391390757098,0.000484428942131
native-l8,14,3,-0.000292787000618,0.000297729564534,-0.000146404223517,0.000148875864278,0.000346853043483,0.000355901040027
native-l8,15,3,-0.00033699782932,0.000350697644169,-0.000168513124755,0.000175364198386,0.000386661364707,0.000425122414543
native-l8,16,3,-0.000382594108343,0.000386544986505,-0.000191315358859,0.000193291173991,0.000419409057647,0.000498191681487
native-l8,17,3,-0.000428387689758,0.000435293413567,-0.000214216801225,0.000217670396985,0.00043738164633,0.00052641609233
native-l8,18,3,-0.000477626904916,0.000486934189945,-0.000238841996874,0.000243496740304,0.000455722522548,0.0005549367355
native-l8,19,3,-0.000530866070925,0.000541466191685,-0.000265468300277,0.000270769753972,0.000466225617314,0.000559267638855
native-l8,20,3,-0.000588951889931,0.00059977825778,-0.00029451934055,0.000299934109125,0.000412424532188,0.000500048778509
native-l8,21,3,-0.000650320209856,0.000659199378344,-0.0003252130064,0.00032965402506,0.000460968243419,0.000487489968175
native-l8,22,3,-0.000711287303905,0.000722398342836,-0.000355706946554,0.000361264427411,0.00050034012305,0.000576913190036
native-l8,23,3,-0.000773277224245,0.000788484099247,-0.000386713443623,0.000394319793673,0.000535862188938,0.000654390174755
native-l8,24,3,-0.000840080429799,0.000857455575727,-0.000420128544433,0.000428819731044,0.000537745398583,0.000630586657766
native-l8,25,3,-0.00091050363015,0.000940185384105,-0.000455355587808,0.000470203237595,0.000560823289931,0.000672913240033
native-l8,26,3,-0.000982936259244,0.00100405147295,-0.000491589071101,0.000502151814699,0.000512680988648,0.000521277232466
native-l8,27,3,-0.00105998051738,0.00108167381511,-0.000530130895849,0.000540983238986,0.000556785394888,0.000597383021104
native-l8,28,3,-0.00114183506776,0.00116217771515,-0.000571080704038,0.000581257787882,0.000583121393234,0.000645677228502
native-l8,29,3,-0.00122390591859,0.00124556215174,-0.000612140434642,0.000622975124874,0.000626333387093,0.000744312808509
native-l8,30,3,-0.00130804113256,0.00133742537619,-0.000654234722048,0.000668936426065,0.000616319161595,0.000692531937998
