grid,degree,tm_eigenvalue_error,te_eigenvalue_error,tm_wavenumber_error,te_wavenumber_error,tm_residual,te_residual,polarization_splitting
native-l7,50,-0.0145822017614,-0.00463408131192,-0.00731787653921,-0.00231973123245,0.00919686452503,0.219429827103,0.00994812044947
native-l7,51,-0.0151333744339,-0.00486160726833,-0.00759553327984,-0.00243376524079,0.00870425836478,0.217490121836,0.0102717671655
native-l7,52,-0.015723503346,-0.00506244727155,-0.00789290061302,-0.00253443531696,0.00870829762569,0.215528559482,0.0106610560744
native-l7,53,-0.0163246290902,-0.00526721181596,-0.00819590094123,-0.00263708301138,0.00871349135344,0.213636706232,0.0110574172743
native-l7,54,-0.0169367305872,-0.00547589895772,-0.00850452879864,-0.00274170796013,0.00871980387443,0.211810696978,0.0114608316295
native-l7,55,-0.0174956450654,-0.00575330447076,-0.00878642314855,-0.00288080174473,0.00847310196228,0.210372835996,0.0117423405946
native-l7,56,-0.0181937747076,-0.00590503307915,-0.00913864476791,-0.00295688813329,0.00873565918134,0.208342114263,0.0122887416285
native-l7,57,-0.0188386733587,-0.00612547599274,-0.00946412147703,-0.00306744259842,0.00874514623988,0.206693103801,0.012713197366
native-l7,58,-0.0194944598181,-0.00634983337167,-0.00979520290909,-0.00317997279934,0.00875564007475,0.205097021668,0.0131446264465
native-l7,59,-0.020161111194,-0.00657810309418,-0.0101318831248,-0.00329447834086,0.00876711893924,0.203551170397,0.0135830080998
native-l7,60,-0.0208482322599,-0.00679637732353,-0.0104790210713,-0.00340398220921,0.00919991785274,0.201790038718,0.0140518549364
native-l7,61,-0.0215269153197,-0.00704637090532,-0.0108220156715,-0.00352941383367,0.00879295476277,0.200600245623,0.0144805444144
native-l7,62,-0.0222260204793,-0.00728636457288,-0.0111754556441,-0.00364984296327,0.00880727766298,0.199190610415,0.0149396559065
native-l7,63,-0.0229358953759,-0.00753026174175,-0.0115344696834,-0.00377224579003,0.00882251714504,0.197822057846,0.0154056336342
native-l7,64,-0.0236565153143,-0.00777806011238,-0.0118990513689,-0.00389662188726,0.00883865990148,0.196492648955,0.0158784552019
native-l7,65,-0.0243260763735,-0.0080943774834,-0.0122379215487,-0.00405541192464,0.00863839652919,0.195299141864,0.0162316988902
native-l7,66,-0.025129889742,-0.00828535108219,-0.0126448915117,-0.00415129215437,0.00887360810893,0.193944088779,0.0168445386598
native-l7,67,-0.0258825930496,-0.00854483890361,-0.0130261366427,-0.00428158543874,0.00889239270588,0.19272161623,0.017337754146
native-l7,68,-0.0266459390374,-0.00880821837115,-0.0134129227673,-0.00441385022247,0.008912038665,0.1915316294,0.0178377206662
native-l7,69,-0.0274199012236,-0.0090754870063,-0.0138052429787,-0.00454808604649,0.00893253782763,0.190372699547,0.0183444142173
native-l7,70,-0.0282390092622,-0.0093079847847,-0.0142206176138,-0.00466487291199,0.00928518792771,0.18904975606,0.0189310244775
native-l7,71,-0.0289995664935,-0.00962168168574,-0.0146064575478,-0.00482246894624,0.00897606682342,0.188142695574,0.0193778848077
native-l7,72,-0.0298052148447,-0.00990060259328,-0.0150153376041,-0.00496261507081,0.00899908381964,0.187069147258,0.0199046122515
native-l7,73,-0.0306213699322,-0.0101834023948,-0.0154297231442,-0.00510473033329,0.00902292821632,0.186021697585,0.0204379675374
native-l7,74,-0.0314480035113,-0.0104700784319,-0.0158496067731,-0.00524881424144,0.00904759494591,0.184999271182,0.0209779250794
native-l7,75,-0.0322158975962,-0.0108334852732,-0.016239814587,-0.00543149319576,0.00891057579719,0.184146833283,0.021382412323
native-l7,76,-0.0331325914218,-0.011055048399,-0.0167058382263,-0.00554288599208,0.00909937729504,0.183025468343,0.0220775430228
native-l7,77,-0.0339904875228,-0.0113533368319,-0.0171421707708,-0.00569287281642,0.00912648480099,0.182072211934,0.0226371506909
native-l7,78,-0.0348587456572,-0.0116554905062,-0.0175839708439,-0.00584482625004,0.00915439832762,0.181140212243,0.023203255151
native-l7,79,-0.0357373358463,-0.0119615065831,-0.0180312305609,-0.00599874576694,0.00918311457414,0.180228644799,0.0237758292632
native-l7,80,-0.0366270019856,-0.0122641313648,-0.0184843363377,-0.00615098297818,0.0095008066859,0.179289348546,0.0243628706208
native-l7,81,-0.0375253907612,-0.01258511441,-0.018942096898,-0.00631248091261,0.00924294317999,0.178463711723,0.0249402763512
native-l7,82,-0.0384347938203,-0.0129027003023,-0.0194056872592,-0.00647229545539,0.00927405000132,0.17760889273,0.025532093518
native-l7,83,-0.039354405604,-0.0132241368822,-0.0198747047464,-0.00663407390942,0.009305948411,0.176771594756,0.0261302687218
native-l7,84,-0.0402841944325,-0.0135494211309,-0.0203491409857,-0.00679781571468,0.00933863600377,0.175951175366,0.0267347733017
native-l7,85,-0.0411496413322,-0.013958424801,-0.0207909525194,-0.00700373857751,0.00917991529309,0.175276658485,0.0271912165312
native-l7,86,-0.042174174828,-0.0142115203797,-0.0213142357365,-0.0071311871046,0.00940636960867,0.174358551753,0.0279626544483
native-l7,87,-0.0431343013623,-0.0145483291626,-0.0218048770119,-0.00730081553502,0.00944141124082,0.173585206702,0.0285859721998
native-l7,88,-0.0441044748794,-0.0148889731799,-0.0223009025673,-0.00747240500825,0.00947723325879,0.172826455438,0.0292155016995
native-l7,89,-0.0450846620354,-0.0152334492334,-0.0228023035411,-0.00764595493008,0.00951383357654,0.172081790123,0.029851212802
native-l7,90,-0.0461129256399,-0.015537125087,-0.0233285740024,-0.00779897454549,0.00981356421983,0.171330633044,0.0305758005529
native-l7,91,-0.0470749422501,-0.0159338844768,-0.02382119581,-0.00799893370866,0.00958936082147,0.170632797561,0.0311410577733
native-l7,92,-0.0480849669871,-0.0162898370916,-0.0243386688953,-0.00817836134293,0.0096282835904,0.169927562577,0.0317951298955
native-l7,93,-0.0491048687228,-0.016649608592,-0.0248614809796,-0.00835974698079,0.00966797631906,0.169234595836,0.0324552601308
native-l7,94,-0.0501346124894,-0.0170131956012,-0.0253896227155,-0.00854308999392,0.00970843686357,0.16855349072,0.0331214168882
native-l7,95,-0.0510925929775,-0.0174694103362,-0.0258812151372,-0.00877318959596,0.00955767388542,0.167914061373,0.0336231826413
native-l7,96,-0.0522234846456,-0.0177518024611,-0.0264618572679,-0.00891564559876,0.00979165259587,0.167225323653,0.0344716821846
native-l7,97,-0.0532825415073,-0.0181268153804,-0.0270059309057,-0.00910485689976,0.00983440324296,0.166577530608,0.035155726127
native-l7,98,-0.0543512973473,-0.0185056299459,-0.027555295838,-0.0092960229947,0.00987791260954,0.165940135383,0.0358456674014
native-l7,99,-0.0554297156161,-0.0188882426034,-0.0281099422342,-0.00948914322123,0.00992217825467,0.165312808637,0.0365414730127
native-l7,100,-0.0565341252476,-0.0192511441667,-0.0286782846284,-0.00967234925341,0.0102297082254,0.164708543205,0.0372829810809
native-l8,1,-2.48461688335e-06,5.09491442655e-05,-1.24230921339e-06,2.54742476642e-05,0.00613445303997,4.37157450978,5.34337611489e-05
native-l8,2,-7.97922969775e-06,6.63880897824e-05,-3.98962280745e-06,3.31934939872e-05,0.0464344039572,2.91750562969,7.43673194801e-05
native-l8,3,-1.62060367247e-05,7.12472793711e-05,-8.10305119203e-06,3.56230051863e-05,0.0364026236427,2.18398010658,8.74533160959e-05
native-l8,4,-2.73183073567e-05,6.94585733283e-05,-1.36592469658e-05,3.47286836233e-05,0.0281553165812,1.7227084672,9.6776880685e-05
native-l8,5,-3.59987193544e-05,3.63221016229e-05,-1.79995216686e-05,1.81608859025e-05,0.0265909599369,1.18273127947,7.23208209772e-05
native-l8,6,-5.82252502089e-05,6.12855676418e-05,-2.91130488893e-05,3.06423143452e-05,0.0192932305153,1.22075996618,0.000119510817851
native-l8,7,-7.80157835409e-05,5.57097685481e-05,-3.9008652608e-05,2.78544963375e-05,0.0167278396725,1.07100073584,0.000133725552089
native-l8,8,-0.000100698867369,4.9121312319e-05,-5.03507012811e-05,2.45603545541e-05,0.0148186402979,0.956436904423,0.000149820179688
