frequency_hz,model,attenuation_db_per_mm,phase_velocity_fraction_c,beta_real,beta_imag,eigen_residual,bannister_attenuation_db_per_mm,bannister_phase_velocity_fraction_c
305.17578125,bulk,5.42087937759,0.855498136668,7.47635926414e-06,-6.24101802288e-07,1.58949725698e-13,5.48517902309,0.860663741506
315.348307292,bulk,5.5963323599,0.856884082599,7.7130757058e-06,-6.44301573367e-07,2.64780635789e-13,5.65491081585,0.862168173618
325.520833333,bulk,5.77218750328,0.858228626595,7.94941111193e-06,-6.6454764495e-07,1.50716554827e-13,5.82429659239,0.863626530797
335.693359375,bulk,5.94845121094,0.859534376926,8.18537658336e-06,-6.84840754235e-07,1.18468608617e-13,5.99334885069,0.865041606521
345.865885417,bulk,6.12512977161,0.86080369106,8.4209826438e-06,-7.05181625238e-07,1.54873102796e-13,6.16207927169,0.866415946307
356.038411458,bulk,6.30222959141,0.862038708199,8.65623927535e-06,-7.2557099549e-07,1.5547691176e-13,6.3304987951,0.867751876285
366.2109375,bulk,6.47975736098,0.863241376994,8.89115594779e-06,-7.4600963528e-07,1.42683532172e-13,6.49861768636,0.869051527772
376.383463542,bulk,6.65772016834,0.864413479202,9.12574164319e-06,-7.66498360648e-07,1.24272313473e-13,6.66644559576,0.870316858486
386.555989583,bulk,6.8361255671,0.865556649905,9.36000487736e-06,-7.87038041231e-07,1.61000440999e-13,6.83399161096,0.871549670954
396.728515625,bulk,7.01498160851,0.866672394824,9.5939537189e-06,-8.07629603969e-07,1.54872847202e-13,7.00126430373,0.872751628529
406.901041667,bulk,7.19429684513,0.867762105178,9.82759580667e-06,-8.28274033509e-07,1.12799996085e-13,7.16827177176,0.873924269402
417.073567708,bulk,7.37408031233,0.868827070455,1.00609383661e-05,-8.48972370085e-07,1.13325930207e-13,7.33502167606,0.875069018877
427.24609375,bulk,7.55434149349,0.869868489408,1.02939882251e-05,-8.69725705515e-07,9.03281666266e-14,7.5015212746,0.876187200189
437.418619792,bulk,7.73509027346,0.87088747955,1.05267518288e-05,-8.90535177832e-07,1.0239889839e-13,7.66777745263,0.877280044044
447.591145833,bulk,7.91633688418,0.871885085379,1.07592352547e-05,-9.11401965032e-07,7.21083240793e-14,7.83379675002,0.878348697075
457.763671875,bulk,8.09809184567,0.872862285503,1.09914442274e-05,-9.32327278277e-07,1.06840730256e-13,7.99958538611,0.879394229348
467.936197917,bulk,8.28036590485,0.873819998851,1.12233841327e-05,-9.53312354853e-07,8.683481711e-14,8.16514928212,0.880417641049
478.108723958,bulk,8.4631699743,0.874759090093,1.1455060032e-05,-9.74358451115e-07,1.14047162676e-13,8.33049408167,0.881419868455
488.28125,bulk,8.64651507229,0.875680374388,1.16864766764e-05,-9.9546683559e-07,7.56120659361e-14,8.49562516943,0.88240178928
498.453776042,bulk,8.83041226538,0.876584621555,1.191763852e-05,-1.01663878236e-06,8.05175097353e-14,8.66054768812,0.883364227476
50.8626302083,impedance,1.06934223774,0.775908171745,1.37387637104e-06,-1.23112574796e-07,6.37225325154e-12,1.04971343976,0.780880649359
61.03515625,impedance,1.25904627375,0.783675374332,1.63231144656e-06,-1.44953059066e-07,3.76982255844e-12,1.24068118385,0.788802592412
71.2076822917,impedance,1.44689695362,0.790280302342,1.8884472511e-06,-1.66580167825e-07,2.36242936733e-12,1.42930087024,0.795531989764
81.3802083333,impedance,1.63290799153,0.796036639352,2.14261877016e-06,-1.87995479977e-07,1.94040512702e-12,1.6159621862,0.801385337164
91.552734375,impedance,1.81709424121,0.801137369145,2.39509914249e-06,-2.09200705619e-07,1.87588058816e-12,1.80094920858,0.806567416068
101.725260417,impedance,1.9995567679,0.805711817906,2.6461121199e-06,-2.30207480318e-07,1.57748296857e-12,1.98447766524,0.811218439767
111.897786458,impedance,2.18047333211,0.809852978376,2.89583942985e-06,-2.51036269509e-07,8.6489982379e-13,2.16671660863,0.815438670079
122.0703125,impedance,2.36006386147,0.813631245665,3.14442762793e-06,-2.71712393297e-07,1.03493151473e-12,2.34780185858,0.819302308791
132.242838542,impedance,2.53855922055,0.817101780266,3.39199474949e-06,-2.92262430946e-07,1.15217865566e-12,2.52784477021,0.822865826849
